ID de actividad,Fecha de la actividad,Nombre de la actividad,Tipo de actividad,Descripción de la actividad,Tiempo transcurrido,Distancia,Ritmo cardiaco máximo,Esfuerzo Relativo,Desplazamiento,Nota privada de actividad,Equipamiento de la actividad,Nombre del archivo,Peso del deportista,Peso de la bicicleta,Tiempo transcurrido,Tiempo en movimiento,Distancia,Velocidad máxima,Velocidad promedio,Desnivel positivo,Desnivel negativo,Desnivel bajo,Desnivel alto,Pendiente máxima,Pendiente promedio,Pendiente positiva promedio,Pendiente negativa promedio,Cadencia máx.,Cadencia promedio,Ritmo cardiaco máximo,Ritmo cardiaco promedio,Vatios máx.,Vatios promedio,Calorías,Temperatura máx.,Temperatura promedio,Esfuerzo Relativo,Trabajo total,Número de carreras,Tiempo en ascenso,Tiempo en descenso,Otro tiempo,Esfuerzo Percibido,Tipo,Hora de inicio,Potencia promedio ponderada,Recuento de potencia,Usar Esfuerzo Percibido,Esfuerzo Relativo percibido,Desplazamiento,Peso total levantado,Desde la carga,Distancia ajustada en pendientes,Hora de observación meteorológica,Condición meteorológica,Temperatura meteorológica,Temperatura aparente,Punto de rocío,Humedad,Presión meteorológica,Velocidad del viento,Ráfaga de viento,Dirección del viento,Intensidad de precipitación,Hora del amanecer,Hora del atardecer,Fase lunar,Bicicleta,Equipamiento,Probabilidad de precipitación,Tipo de precipitación,Nubosidad,Visibilidad meteorológica,Índice UV,Ozono meteorológico,Recuento de saltos,Grit total,Flow promedio,Denunciado,Velocidad promedio durante el tiempo transcurrido,Distancia en tierra,Distancia recientemente explorada,Distancia en rampas de tierra recientemente explorada,Recuento de actividades,Total de pasos,Ahorro en carbono,Largo de la piscina,Carga de entrenamiento,Intensidad,Ritmo ajustado en pendientes promedio,Tiempo cronometrado,Ciclos en total,Recuperación,Con mascota,Competición,Carrera de larga distancia,Por una causa,Multimedia
4412321064,"30 nov 2020, 15:39:58",Carrera de tarde,Carrera,,2288,"8,71",,,false,,,activities/4412321064.gpx,,,2288.0,2285.0,8717.1,6.3,3.815,12.3,7.8,5.8,18.7,10.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,8741.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4424731769,"3 dic 2020, 14:04:23",Carrera de tarde,Carrera,,2240,"8,62",,,false,,,activities/4424731769.gpx,,,2240.0,2240.0,8626.6,7.7,3.851,11.7,7.3,5.8,18.7,9.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,8650.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4458361586,"11 dic 2020, 13:57:47",Carrera de tarde,Carrera,,1510,"6,03",,,false,,,activities/4458361586.gpx,,,1510.0,1506.0,6037.8,6.8,4.009,6.1,7.7,6.5,14.3,1.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6037.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4479434263,"16 dic 2020, 14:00:17",Carrera de tarde,Carrera,,2280,"8,68",,,false,,,activities/4479434263.gpx,,,2280.0,2280.0,8680.0,5.6,3.807,11.1,6.6,5.8,18.7,8.3,0.1,,,,,,,,,,,,,,,,,,5.0,,,,,0.0,41.0,0.0,,1.0,8703.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4689595490,"27 ene 2021, 13:59:39",Carrera de tarde,Carrera,,1225,"4,47",,,false,,,activities/4689595490.gpx,,,1225.0,1219.0,4476.5,11.0,3.672,11.4,7.0,9.7,18.7,11.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4499.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5178862934,"23 abr 2021, 15:53:28",Carrera de tarde,Carrera,,3610,"6,09",,,false,,,activities/5519068127.gpx.gz,,,3610.0,3150.0,6095.8,5.2,1.935,3.5,3.7,-0.4,3.5,4.5,0.0,,,79.0,42.0,,,,,,,23.0,,,,,,,,,,,,,,0.0,,1.0,6098.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5196336171,"26 abr 2021, 14:13:04",Actividad de tarde,Surf,,5247,"1,66",141.0,12,false,,,activities/5537282198.fit.gz,,,5247.0,3679.0,1665.5,3.2,0.453,0.0,-0.3,-0.3,0.3,8.5,0.0,,,,,,113.0,,,470.0,,17.0,12.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5201714447,"27 abr 2021, 13:38:25",Actividad de tarde,Surf de remo,,3340,"3,74",148.0,12,false,,,activities/5542854316.fit.gz,,,3340.0,2848.0,3748.2,3.6,1.316,7.4,-1.0,-0.2,8.4,14.7,0.2,,,87.0,42.0,,119.0,,,344.0,,25.0,12.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5219235958,"30 abr 2021, 16:06:45",Actividad de tarde,Surf de remo,"",4082,"7,22",186.0,121,true,,,activities/5561578260.fit.gz,,,4082.0,3988.0,7220.5,3.4,1.811,3.5,6.3,-0.5,3.7,13.9,0.0,,,83.0,43.0,,157.0,,,761.0,,23.0,121.0,,,,,,,,,,,0.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5258848431,"7 may 2021, 14:49:52",Actividad de tarde,Surf de remo,,4576,"7,43",177.0,98,false,,,activities/5602829506.fit.gz,,,4576.0,4440.0,7437.9,4.1,1.675,4.3,3.9,0.0,4.7,10.9,0.0,,,86.0,41.0,,149.0,,,755.0,,29.0,98.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5267067155,"9 may 2021, 10:08:00",Actividad a la hora del almuerzo,Surf de remo,,2977,"5,08",173.0,82,false,,,activities/5611462741.fit.gz,,,2977.0,2936.0,5082.6,5.8,1.731,0.0,-2.9,-0.3,2.9,18.2,0.1,,,74.0,41.0,,155.0,,,501.0,,25.0,82.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5290207799,"13 may 2021, 14:11:58",Excursión de tarde,Senderismo,,1071,"0,94",176.0,17,false,,,activities/5635708606.fit.gz,,,1071.0,1017.0,948.0,2.7,0.932,138.0,0.0,136.6,281.8,50.0,15.3,,,80.0,50.0,,138.0,,,177.0,,33.0,17.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
