ID de actividad,Fecha de la actividad,Nombre de la actividad,Tipo de actividad,Descripción de la actividad,Tiempo transcurrido,Distancia,Ritmo cardiaco máximo,Esfuerzo Relativo,Desplazamiento,Nota privada de actividad,Equipamiento de la actividad,Nombre del archivo,Peso del deportista,Peso de la bicicleta,Tiempo transcurrido,Tiempo en movimiento,Distancia,Velocidad máxima,Velocidad promedio,Desnivel positivo,Desnivel negativo,Desnivel bajo,Desnivel alto,Pendiente máxima,Pendiente promedio,Pendiente positiva promedio,Pendiente negativa promedio,Cadencia máx.,Cadencia promedio,Ritmo cardiaco máximo,Ritmo cardiaco promedio,Vatios máx.,Vatios promedio,Calorías,Temperatura máx.,Temperatura promedio,Esfuerzo Relativo,Trabajo total,Número de carreras,Tiempo en ascenso,Tiempo en descenso,Otro tiempo,Esfuerzo Percibido,Tipo,Hora de inicio,Potencia promedio ponderada,Recuento de potencia,Usar Esfuerzo Percibido,Esfuerzo Relativo percibido,Desplazamiento,Peso total levantado,Desde la carga,Distancia ajustada en pendientes,Hora de observación meteorológica,Condición meteorológica,Temperatura meteorológica,Temperatura aparente,Punto de rocío,Humedad,Presión meteorológica,Velocidad del viento,Ráfaga de viento,Dirección del viento,Intensidad de precipitación,Hora del amanecer,Hora del atardecer,Fase lunar,Bicicleta,Equipamiento,Probabilidad de precipitación,Tipo de precipitación,Nubosidad,Visibilidad meteorológica,Índice UV,Ozono meteorológico,Recuento de saltos,Grit total,Flow promedio,Denunciado,Velocidad promedio durante el tiempo transcurrido,Distancia en tierra,Distancia recientemente explorada,Distancia en rampas de tierra recientemente explorada,Recuento de actividades,Total de pasos,Ahorro en carbono,Largo de la piscina,Carga de entrenamiento,Intensidad,Ritmo ajustado en pendientes promedio,Tiempo cronometrado,Ciclos en total,Recuperación,Con mascota,Competición,Carrera de larga distancia,Por una causa,Multimedia
2282278044,"10 abr 2019, 6:14:50",Carrera de mañana,Carrera,,41,0,,,false,,,activities/2429291878.fit.gz,51.0,,41.0,41.0,0.0,0.0,,0.0,0.0,8.6,9.8,0.0,0.0,,,,,,,,,0.0,,21.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,""
2291264316,"11 abr 2019, 17:26:03",Carrera de noche,Carrera,,1867,"4,91",,,false,,,activities/2438693870.fit.gz,51.0,,1867.0,1867.0,4915.1,3.0,,3.0,3.0,-8.0,-4.8,7.8,0.0,,,94.0,90.0,,,,,264.0,,23.0,,,,,,,,,,,,,,0.0,,,4924.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,3408.7,,,,,,,,,,,,,,,,,""
2291274125,"12 abr 2019, 22:00:55",Carrera nocturna,Carrera,,35516,"53,57",164.0,264,false,,,activities/2438703783.fit.gz,51.0,,35516.0,32909.0,53570.8,4.8,,2352.0,1687.0,37.8,715.8,49.5,1.2,,,122.0,71.0,164.0,119.0,,,2849.0,,15.0,264.0,,,,,,,,,,,,,0.0,,,66316.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,24813.7,,,,,,,,,,,,,,,,,""
2291274517,"15 abr 2019, 8:42:05",Carrera de mañana,Carrera,,3603,"10,32",155.0,37,false,,,activities/2438704587.fit.gz,51.0,,3603.0,3603.0,10325.0,3.5,,9.0,10.0,-9.8,-5.0,6.5,0.0,,,94.0,91.0,155.0,133.0,,,497.0,,20.0,37.0,,,,,,,,,,,,,0.0,,,10335.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2510.0,,,,,,,,,,,,,,,,,""
2293518832,"16 abr 2019, 7:49:33",Carrera de mañana,Carrera,,4548,"5,48",153.0,25,false,,,activities/2441040708.fit.gz,51.0,,4548.0,3806.0,5484.5,3.9,,332.0,317.0,16.2,174.6,48.1,-0.1,,,110.0,72.0,153.0,126.0,,,394.0,,22.0,25.0,,,,,,,,,,,,,0.0,,,7672.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2687.5,,,,,,,,,,,,,,,,,""
2313306545,"21 abr 2019, 8:00:40",Carrera de mañana,Carrera,,3020,"8,81",152.0,44,false,,,activities/2461746659.fit.gz,51.0,,3020.0,3020.0,8816.3,7.0,,80.0,76.0,9.8,46.8,8.3,0.0,,,95.0,91.0,152.0,136.0,,,424.0,,18.0,44.0,,,,,,,,,,,,,0.0,,,8933.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,7153.1,,,,,,,,,,,,,,,,,""
2313311099,"23 abr 2019, 15:37:16",Carrera de tarde,Carrera,,6910,"9,31",171.0,117,false,,,activities/2461752604.fit.gz,51.0,,6910.0,5826.0,9317.9,3.5,,597.0,592.0,12.4,417.8,49.5,0.0,,,113.0,75.0,171.0,140.0,,,874.0,,19.0,117.0,,,,,,,,,,,,,0.0,,,13129.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4797.1,,,,,,,,,,,,,,,,,""
2315934797,"24 abr 2019, 15:35:13",Ciclismo por la tarde,Bicicleta,,6536,"31,54",144.0,24,false,,,activities/2464502814.fit.gz,51.0,,6536.0,6409.0,31546.9,8.6,,123.0,122.0,-0.6,25.8,21.6,0.0,,,,,144.0,109.0,,,475.0,,25.0,24.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12069.6,,,,,,,,,,,,,,,,,""
2320893250,"25 abr 2019, 16:36:11",Carrera de noche,Carrera,,4339,"6,53",171.0,80,false,,,activities/2469669203.fit.gz,51.0,,4339.0,4264.0,6532.1,3.0,,391.0,398.0,11.6,171.0,48.0,-0.1,,,122.0,72.0,171.0,139.0,,,610.0,,23.0,80.0,,,,,,,,,,,,,0.0,,,9172.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3734.9,,,,,,,,,,,,,,,,,""
2320897698,"26 abr 2019, 15:11:25",Carrera de tarde,Carrera,,10118,"11,80",147.0,43,false,,,activities/2469673833.fit.gz,51.0,,10118.0,9117.0,11807.1,3.1,,816.0,803.0,20.0,625.0,48.9,0.1,,,118.0,67.0,147.0,118.0,,,803.0,,24.0,43.0,,,,,,,,,,,,,0.0,,,17346.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,9007.1,,,,,,,,,,,,,,,,,""
